,Life expectancy at birth,,Women who were first married by age 18,Account at a financial institution,,Wage and salary workers,Wage and salaried workers,Firms with female participation in ownership,Women in parliaments,Nondiscrimination clause mentions gender in the constitution
,Male,Female,,Male,Female,Male,Female,,,
,years,years,% of women ages 20-24,% age 15+,% age 15+,% of male employment,% of females employment,% of firms,% of total seats,1=yes; 0=no
,2015,2015,2009-2015,2014,2014,2010-2016,2010-2016,2010-2016,2016,2015
Afghanistan,62,64.6,34.8,15.8,3.8,..,..,2.2,28,0
Albania,76.2,80.3,9.6,42.5,33.6,39.8,42.6,12.5,23,1
Algeria,74.7,77.1,2.5,60.9,40.1,34.5,40.8,..,32,1
American Samoa,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,32,..
Angola,58.4,64.1,..,36.1,22.3,..,..,56.6,37,1
Antigua and Barbuda,73.7,78.6,..,..,..,..,..,21.3,11,1
Argentina,72.6,80.2,..,49.5,50.9,71.5,79.9,38,36,..
Armenia,71.1,77.5,7.2,20.7,14.3,57.3,57.1,25.3,11,1
Aruba,73.2,78.1,..,..,..,86,92.5,..,..,..
Australia,80.5,84.5,..,98.7,99,79.1,87.4,..,29,..
Austria,79.6,84.2,..,96.1,97.4,84.7,89.6,..,31,..
Azerbaijan,68.9,74.9,11,32.6,25.9,36.7,27.4,4.5,17,..
"Bahamas, The",72.4,78.5,..,..,..,86.7,81.9,58.3,13,0
Bahrain,75.9,77.8,..,90.2,66.7,98,97.5,..,8,1
Bangladesh,70.6,73.9,58.6,32.9,25.2,26.5,49.2,12.7,20,1
Barbados,73.3,78.1,10.7,..,..,78.4,88.2,43.5,17,0
Belarus,68.6,78.9,3.2,72,72,..,..,43.6,35,0
Belgium,78.8,83.9,..,96.7,99.5,81.3,88.9,..,39,0
Belize,67.6,73.2,25.9,44.1,52.3,71.3,78.4,30.4,3,1
Benin,59.1,62.1,31.9,19.2,12.9,12.5,4,36.7,7,..
Bermuda,77.3,84.9,..,..,..,78.2,86.7,..,..,..
Bhutan,69.6,70,25.8,39,27.7,36.8,15.9,43.3,9,1
Bolivia,66.3,71.3,..,44,37.6,40.4,32.1,41.3,53,1
Bosnia and Herzegovina,74.2,79.2,3.5,58.8,47.1,74.3,78.2,27.2,21,1
Botswana,62.9,68.7,..,52.7,45.9,68.2,68.7,55.3,10,1
Brazil,71.6,78.9,..,71.7,64.8,64.5,71.5,..,10,1
Brunei Darussalam,75.5,78.8,..,..,..,..,..,..,7,..
Bulgaria,71.1,78,..,62.8,63.2,85.1,91.2,39,20,..
Burkina Faso,59.2,60.5,51.6,15.1,11.8,..,..,..,9,1
Burundi,55.1,59.1,20.4,7.3,6.5,..,..,44,36,1
Cabo Verde,70.5,74.5,..,..,..,..,..,..,24,1
Cambodia,66.5,70.6,18.5,14.9,10.7,49.1,39.3,46.2,20,1
Cameroon,56.4,58.8,38.4,13.8,8.9,28.6,11.2,39.7,31,..
Canada,80.2,84.1,..,99,99.2,81.4,88.3,..,26,1
Cayman Islands,..,..,..,..,..,89,95.9,..,..,..
Central African Republic,49.6,53.2,67.9,..,..,..,..,53.3,7,..
Chad,51.4,53.8,66.9,11.7,4,..,..,..,15,1
Channel Islands,79.2,82.7,..,..,..,..,..,..,..,..
Chile,76.7,81.7,..,67.8,59.1,73.7,65.1,29.6,16,..
China,74.6,77.7,..,81.4,76.4,..,..,64.2,24,..
"Hong Kong SAR, China",81.4,87.3,..,96,96.3,87.5,94.7,..,..,..
"Macao SAR, China",80.7,86.6,..,..,..,91,95.8,..,..,..
Colombia,70.7,77.8,23.4,43.5,33.6,48.1,50.3,35.3,20,1
Comoros,61.8,65.2,31.6,..,..,..,..,..,3,..
"Congo, Dem. Rep.",57.7,60.7,37.3,13.3,8.5,..,..,15.1,9,1
"Congo, Rep.",62.5,65.7,32.6,19.2,14.2,..,..,..,7,1
Costa Rica,77.2,82.1,21.2,69.2,60.2,74,80.7,43.5,33,0
Cote d'Ivoire,51.6,54.6,33.2,18.1,12,25.2,8.6,24.4,9,..
Croatia,74.3,80.4,..,84.2,87.7,81.6,87.8,32.1,13,..
